Y  C
81.173725  79.668528
152.939116  168.455894
91.776628  109.836698
122.152903  126.605400
86.937168  83.014005
138.531601  130.576124
92.434467  101.102645
125.730658  138.854797
82.887936  87.539800
139.711567  137.087471
91.551215  88.357802
133.256144  124.642958
80.208009  78.513297
141.454982  127.770086
93.338498  93.505824
130.855519  146.362630
77.747321  73.604952
139.600017  133.982565
95.028635  98.053576
130.976261  149.772298
80.823038  83.237799
133.754889  115.526866
81.892045  91.501852
130.847341  143.822989
83.020771  85.040599
135.678289  129.215395
81.698535  83.908222
132.739756  146.693817
88.548559  94.879409
148.785370  127.895849
100.302108  96.291145
132.683757  137.810899
80.390985  80.852002
140.569392  126.987551
94.971138  81.088821
131.884231  134.948012
74.239750  67.516539
138.043307  133.623126
102.384545  100.417281
125.362208  140.112650
90.986318  88.358793
139.350471  142.742325
84.518146  86.002080
130.351925  141.047114
79.434180  79.127561
137.899427  140.165357
86.643624  95.399374
126.247592  131.174224
69.207887  59.842439
141.027927  140.305217
91.827681  94.723992
128.999095  147.526898
81.718477  84.500981
137.796841  135.983755
88.068682  100.743973
120.395279  153.743233
86.199002  87.881222
139.390294  123.454123
96.257446  92.720691
130.615596  152.064062
81.694982  109.579940
139.330800  137.752150
90.381235  104.655745
126.309524  141.214741
87.614308  85.740829
138.392229  145.011430
102.829715  113.376056
129.723900  140.971954
70.290888  78.031674
139.841397  127.732876
76.147470  79.423351
135.692950  147.617022
83.906664  89.609613
150.242171  117.858803
92.610753  101.358948
127.435245  137.190984
74.538520  82.359046
146.829722  152.311315
81.886660  95.608512
131.644016  145.253261
82.949376  93.000199
144.043244  136.130481
86.516600  90.854401
123.467758  114.719272
85.334384  109.130882
132.543110  130.941405
86.648510  103.365079
132.533722  147.541374
86.972072  107.376442
141.674147  138.120668
94.528796  93.835976
119.474569  141.727597
78.552081  70.567051
149.469855  130.867634
82.491373  94.149052
122.881481  138.034938
80.673216  78.322414
146.854190  143.745071
89.988631  102.053823
126.995091  127.665735
